rgn_id,sector,year,value,russian rubles/year
4,fishing,2010,405126.1932,
4,hospitality,2010,405126.1932,
4,transport,2010,405126.1932,
4,fishing,2011,433796.0142,
4,hospitality,2011,433796.0142,
4,transport,2011,433796.0142,
4,fishing,2012,505397.7278,
4,hospitality,2012,505397.7278,
4,transport,2012,505397.7278,
4,fishing,2013,541703.8724,
4,hospitality,2013,541703.8724,
4,transport,2013,541703.8724,
4,fishing,2014,567063.6661,
4,hospitality,2014,567063.6661,
4,transport,2014,567063.6661,
