 , AVERAGE WEEKLY EARNINGS NWT. Estimated Employee Earnings., ,
 ,  , Northwest Territories; Industrial Aggregate, 
 ,  , DOLLARS , 
 Annual, , V1811114, 
2001, ,885.04,46022.08
2002, ,915.62,47612.24
2003, ,954.8,49649.6
2004, ,984.44,51190.88
2005, ,1009.49,52493.48
2006, ,1020.43,53062.36
2007, ,1075.81,55942.12
2008, ,1122.76,58383.52
2009, ,1174.16,61056.32
2010, ,1218.84,63379.68
2011, ,1270.31,66056.12
2012, ,1319.65,68621.8
2013, ,1340.46,69703.92
2014, ,1398.21,72706.92
2015, ,1421.46,73915.92
