"","Region","Year","Marine.Jobs"
"1","Greenland","2008",14345
"2","Greenland","2009",13603
"3","Greenland","2010",13036
"4","Greenland","2011",12647
"5","Greenland","2012",12941
"6","Greenland","2013",12647
"7","Greenland","2014",12677
