"","Region","Year","Marine.Jobs"
"1","Svalbard","2008",420
"2","Svalbard","2009",398
"3","Svalbard","2010",401
"4","Svalbard","2011",471
"5","Svalbard","2012",520
"6","Svalbard","2013",527
"7","Svalbard","2014",576
"8","Norway Mainland","2009",17123
"9","Norway Mainland","2010",16728
"10","Norway Mainland","2011",16694
"11","Norway Mainland","2012",17248
"12","Norway Mainland","2013",17327
"13","Norway Mainland","2014",17247
