"","Region","Year","Marine.Jobs"
"1","Alaska","2004",1433
"2","Alaska","2005",1419
"3","Alaska","2006",1362
"4","Alaska","2007",1419
"5","Alaska","2008",1525
"6","Alaska","2009",1563
"7","Alaska","2010",1612
"8","Alaska","2011",1609
"9","Alaska","2012",1676
"10","Alaska","2013",1703
"11","Alaska","2014",1882
