"","Country","Year","Species","totalcatch"
"146","Canada","2002","Seals nei",1005
"147","Canada","2003","Harp seal",262048
"148","Canada","2003","Hooded seal",6
"149","Canada","2003","Ringed seal",850
"150","Canada","2003","Seals nei",22
"151","Canada","2004","Harp seal",325346
"152","Canada","2004","Hooded seal",389
"153","Canada","2004","Ringed seal",290
"154","Canada","2004","Seals nei",40
"155","Canada","2005","Bearded seal",1
"156","Canada","2005","Harp seal",289908
"157","Canada","2005","Hooded seal",20
"158","Canada","2005","Ringed seal",306
"159","Canada","2005","Seals nei",7
"160","Canada","2006","Harp seal",296595
"161","Canada","2006","Hooded seal",40
"162","Canada","2006","Ringed seal",77
"163","Canada","2006","Seals nei",37
"164","Canada","2007","Bearded seal",14
"165","Canada","2007","Harp seal",223443
"166","Canada","2007","Hooded seal",5
"167","Canada","2007","Ringed seal",113
"168","Canada","2007","Seals nei",66
"169","Canada","2008","Harp seal",215382
"170","Canada","2008","Hooded seal",3
"171","Canada","2008","Ringed seal",49
"172","Canada","2008","Seals nei",6
"173","Canada","2009","Harp seal",53496
"174","Canada","2009","Hooded seal",10
"175","Canada","2009","Ringed seal",21
"176","Canada","2009","Seals nei",4
"177","Canada","2010","Harp seal",67001
"178","Canada","2010","Ringed seal",6
"179","Canada","2011","Harp seal",37908
"180","Canada","2011","Hooded seal",2
"181","Canada","2011","Ringed seal",4
"182","Canada","2011","Seals nei",4
"183","Canada","2012","Harp seal",67561
"184","Canada","2012","Hooded seal",1
"185","Canada","2012","Ringed seal",7
"186","Canada","2012","Seals nei",2
"187","Canada","2013","Harp seal",95204
"188","Canada","2013","Ringed seal",16
"189","Canada","2013","Seals nei",1
